Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Afghanistan,AFG,122.5,95.4,80.4,78.6,76.8,75.1,73.4,71.7,69.9,68.1,66.3,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Albania,ALB,35.1,23.2,16.7,16,15.4,14.8,14.3,13.8,13.3,12.9,12.5,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Algeria,DZA,39.7,33.9,26.4,25.3,24.3,23.5,22.8,22.4,22.1,22,21.9,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Andorra,AND,7.5,3.9,2.8,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2.1,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Angola,AGO,133.5,128.3,117.1,114.7,112.2,109.6,106.8,104.1,101.4,98.8,96,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Antigua and Barbuda,ATG,24,13.8,9.2,8.8,8.2,7.7,7.2,6.8,6.4,6.1,5.8,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Argentina,ARG,24.4,18,14.1,13.7,13.4,13,12.7,12.3,11.9,11.5,11.1,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Armenia,ARM,42.5,26.6,18.8,17.9,17,16.1,15.3,14.6,13.8,13.2,12.6,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Australia,AUS,7.6,5.1,4.5,4.4,4.2,4.1,3.8,3.6,3.4,3.2,3,..
"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,Austria,AUT,8,4.6,3.8,3.8,3.7,3.6,3.4,3.3,3.2,3,2.9,..
